name;mass;radius;orbital_period;semi_major_axis;eccentricity
HD 219134 c;11;-1;6.7635;0.064816;0
HD 219134 d;67;-1;46.71;0.23508;0
HD 219134 f;28;-1;22805;0.14574;0
HD 219134 g;34;-1;94.2;0.3753;0
HD 219134 h;0.34;-1;2247;3.11;0.06
HD 219415 b;1;-1;2093.3;3.2;-1
HD 219828 b;85;-1;3.8335;52;0
HD 220074 b;11.1;-1;672.1;1.6;0.14
HD 220689 b;1.06;-1;2209;3.36;0.16
HD 220773 b;1.45;-1;3724.7;4.94;0.51
HD 221287 b;3.09;-1;456.1;1.25;0.08
HD 222155 b;1.9;-1;3999;5.1;0.16
HD 222582 b;7.75;-1;572.38;1.35;0.725
HD 224693 b;0.71;-1;26.73;233;0.05
HD 22781 b;13.65;-1;528.07;1167;0.8191
