name;mass
Kepler-149 c;-1
Kepler-149 d;-1
Kepler-15 b;0.66
Kepler-150 b;-1
Kepler-150 c;-1
Kepler-150 d;-1
Kepler-150 e;-1
Kepler-151 b;-1
Kepler-151 c;-1
Kepler-152 b;-1
Kepler-152 c;-1
Kepler-153 b;-1
Kepler-153 c;-1
Kepler-154 b;-1
Kepler-154 c;-1
Kepler-155 b;-1
Kepler-155 c;-1
Kepler-156 b;-1
Kepler-156 c;-1
Kepler-157 b;-1
Kepler-157 c;-1
Kepler-158 b;-1
Kepler-158 c;-1
Kepler-159 b;-1
Kepler-159 c;-1
Kepler-16 (AB) b;0.333
Kepler-160 b;-1
Kepler-160 c;-1
Kepler-161 b;-1
Kepler-161 c;-1
Kepler-162 b;-1
Kepler-162 c;-1
Kepler-163 b;-1
Kepler-163 c;-1
Kepler-164 b;-1
Kepler-164 c;-1
Kepler-164 d;-1
Kepler-165 b;-1
Kepler-165 c;-1
Kepler-166 b;-1
Kepler-166 c;-1
Kepler-167 b;-1
Kepler-167 c;-1
Kepler-168 b;-1
Kepler-168 c;-1
Kepler-169 b;-1
Kepler-169 c;-1
Kepler-169 d;-1
Kepler-169 e;-1
Kepler-169 f;-1
Kepler-17 b;2.45
Kepler-170 b;-1
Kepler-170 c;-1
Kepler-171 b;-1
Kepler-171 c;-1
Kepler-171 d;-1
Kepler-172 b;-1
Kepler-172 c;-1
Kepler-172 d;-1
Kepler-172 e;-1
Kepler-173 b;-1
Kepler-173 c;-1
Kepler-174 b;-1
Kepler-174 c;-1
Kepler-174 d;-1
Kepler-175 b;-1
Kepler-175 c;-1
Kepler-176 b;-1
Kepler-176 c;-1
Kepler-176 d;-1
Kepler-177 b;0.00535
Kepler-177 c;0.0198
Kepler-178 b;-1
Kepler-178 c;-1
Kepler-178 d;-1
Kepler-179 b;-1
Kepler-179 c;-1
Kepler-18 b;0.0216153289
Kepler-18 c;0.0541169808
Kepler-18 d;0.0512852783
Kepler-180 b;-1
Kepler-180 c;-1
Kepler-181 b;-1
Kepler-181 c;-1
Kepler-182 b;-1
Kepler-182 c;-1
Kepler-183 b;-1
Kepler-183 c;-1
Kepler-184 b;-1
Kepler-184 c;-1
Kepler-184 d;-1
Kepler-185 b;-1
Kepler-185 c;-1
Kepler-186 b;-1
Kepler-186 c;-1
Kepler-186 d;-1
Kepler-186 e;-1
Kepler-186 f;-1
Kepler-187 b;-1
Kepler-187 c;-1
Kepler-188 b;-1
Kepler-188 c;-1
Kepler-189 b;-1
Kepler-189 c;-1
Kepler-19 b;0.064
Kepler-190 b;-1
Kepler-190 c;-1
Kepler-191 b;-1
Kepler-191 c;-1
Kepler-192 b;-1
Kepler-192 c;-1
Kepler-193 b;-1
Kepler-193 c;-1
Kepler-194 b;-1
Kepler-194 c;-1
Kepler-194 d;-1
Kepler-195 b;-1
Kepler-195 c;-1
Kepler-196 b;-1
Kepler-196 c;-1
Kepler-197 b;-1
Kepler-197 c;-1
Kepler-197 d;-1
Kepler-197 e;-1
Kepler-198 b;-1
Kepler-198 c;-1
Kepler-199 b;-1
Kepler-199 c;-1
Kepler-20 b;0.02658654
Kepler-20 c;0.0493974766
Kepler-20 d;0.06
Kepler-20 e;0.0097
Kepler-20 f;0.045
Kepler-200 b;-1
Kepler-200 c;-1
Kepler-201 b;-1
Kepler-201 c;-1
Kepler-202 b;-1
Kepler-202 c;-1
Kepler-203 b;-1
Kepler-203 c;-1
Kepler-203 d;-1
Kepler-204 b;-1
Kepler-204 c;-1
Kepler-205 b;-1
Kepler-205 c;-1
Kepler-206 b;-1
Kepler-206 c;-1
Kepler-206 d;-1
Kepler-207 b;-1
Kepler-207 c;-1
Kepler-207 d;-1
Kepler-208 b;-1
Kepler-208 c;-1
Kepler-208 d;-1
Kepler-208 e;-1
Kepler-209 b;-1
Kepler-209 c;-1
Kepler-21 b;0.033
Kepler-210 b;-1
Kepler-210 c;-1
Kepler-211 b;-1
Kepler-211 c;-1
Kepler-212 b;-1
Kepler-212 c;-1
Kepler-213 b;-1
Kepler-213 c;-1
Kepler-214 b;-1
Kepler-214 c;-1
Kepler-215 b;-1
Kepler-215 c;-1
Kepler-215 d;-1
Kepler-215 e;-1
Kepler-216 b;-1
Kepler-216 c;-1
Kepler-217 b;-1
Kepler-217 c;-1
Kepler-218 b;-1
Kepler-218 c;-1
Kepler-219 b;-1
Kepler-219 c;-1
Kepler-219 d;-1
Kepler-22 b;0.11
Kepler-220 b;-1
Kepler-220 c;-1
Kepler-220 d;-1
Kepler-220 e;-1
Kepler-221 b;-1
Kepler-221 c;-1
Kepler-221 d;-1
Kepler-221 e;-1
Kepler-222 b;-1
Kepler-222 c;-1
Kepler-222 d;-1
Kepler-223 b;-1
Kepler-223 c;-1
Kepler-223 d;-1
Kepler-223 e;-1
Kepler-224 b;-1
Kepler-224 c;-1
Kepler-224 d;-1
Kepler-224 e;-1
Kepler-225 b;-1
Kepler-225 c;-1
Kepler-226 b;-1
Kepler-226 c;-1
Kepler-226 d;-1
Kepler-227 b;-1
Kepler-227 c;-1
Kepler-228 b;-1
Kepler-228 c;-1
Kepler-228 d;-1
Kepler-229 b;-1
Kepler-229 c;-1
Kepler-229 d;-1
Kepler-23 b;0.8
Kepler-23 c;2.7
Kepler-230 b;-1
Kepler-230 c;-1
